1	1	2	1.000	1.000	1.000
1	1	4	2.000	2.000	2.000
2	2	8	2.000	4.000	4.000
1	3	8	2.000	2.000	6.000
3	1	8	2.000	6.000	2.000
0	2	2	1.000	0.000	2.000
2	0	2	1.000	2.000	0.000
2	2	4	1.000	2.000	2.000
1	3	4	1.000	1.000	3.000
2	2	12	3.000	6.000	6.000
2	2	20	5.000	10.000	10.000
3	3	18	3.000	9.000	9.000
2	4	6	1.000	2.000	4.000
4	2	9	1.500	6.000	3.000
1	3	12	3.000	3.000	9.000
3	1	12	3.000	9.000	3.000
3	3	10	1.667	5.000	5.000
2	4	15	2.500	5.000	10.000
3	3	4	0.667	2.000	2.000
3	3	6	1.000	3.000	3.000
4	4	10	1.250	5.000	5.000
3	5	40	5.000	15.000	25.000
5	3	40	5.000	25.000	15.000
2	4	12	2.000	4.000	8.000
4	2	12	2.000	8.000	4.000
4	4	6	0.750	3.000	3.000
3	5	24	3.000	9.000	15.000
2	2	6	1.500	3.000	3.000
2	2	10	2.500	5.000	5.000
3	3	18	3.000	9.000	9.000
2	4	9	1.500	3.000	6.000
4	2	9	1.500	6.000	3.000
1	3	12	3.000	3.000	9.000
3	1	20	5.000	15.000	5.000
3	3	10	1.667	5.000	5.000
2	4	15	2.500	5.000	10.000
3	3	4	0.667	2.000	2.000
3	3	6	1.000	3.000	3.000
4	4	10	1.250	5.000	5.000
3	5	40	5.000	15.000	25.000
5	3	40	5.000	25.000	15.000
2	3	10	2.000	4.000	6.000
1	4	15	3.000	3.000	12.000
10	20	150	5.000	50.000	100.000
3	2	10	2.000	6.000	4.000
2	3	15	3.000	6.000	9.000
15	15	150	5.000	75.000	75.000
5	25	300	10.000	50.000	250.000
2	3	10	2.000	4.000	6.000
1	4	15	3.000	3.000	12.000
10	20	150	5.000	50.000	100.000
3	2	10	2.000	6.000	4.000
2	3	15	3.000	6.000	9.000
15	15	150	5.000	75.000	75.000
5	25	300	10.000	50.000	250.000
1	1	3	1.500	1.500	1.500
3	6	10	1.111	3.333	6.667
4	7	11	1.000	4.000	7.000
5	8	12	0.923	4.615	7.385
6	9	13	0.867	5.200	7.800
7	10	14	0.824	5.765	8.235
8	11	15	0.789	6.316	8.684
9	12	16	0.762	6.857	9.143
10	13	17	0.739	7.391	9.609
11	14	18	0.720	7.920	10.080
12	15	19	0.704	8.444	10.556
13	16	20	0.690	8.966	11.034
14	17	21	0.677	9.484	11.516
15	18	22	0.667	10.000	12.000
16	19	23	0.657	10.514	12.486
17	20	24	0.649	11.027	12.973
18	21	25	0.641	11.538	13.462
19	22	26	0.634	12.049	13.951
20	23	27	0.628	12.558	14.442
21	24	28	0.622	13.067	14.933
22	25	29	0.617	13.574	15.426
23	26	30	0.612	14.082	15.918
24	27	31	0.608	14.588	16.412
25	28	32	0.604	15.094	16.906
26	29	33	0.600	15.600	17.400
27	30	34	0.596	16.105	17.895
